,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
2,Boa Vista,BR,84.18200000000002,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
5,Jamestown,US,78.44000000000003,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
12,Jeremie,HT,82.56200000000007,few clouds,18.65,-74.1167,Auberge’Inn
21,Mecca,SA,87.74600000000005,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
30,Georgetown,MY,76.94600000000005,scattered clouds,5.4112,100.3354,Cititel Penang
32,Goure,NE,79.01600000000002,overcast clouds,13.9835,10.2704,
33,Porto Novo,BJ,75.02000000000007,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
35,Bathsheba,BB,81.21200000000006,scattered clouds,13.2167,-59.5167,Atlantis Hotel
39,Hithadhoo,MV,81.12200000000004,broken clouds,-0.6,73.0833,Scoop Guest House
41,Bengkulu,ID,75.16400000000004,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
48,Santa Rita,BR,75.86600000000001,clear sky,-7.1139,-34.9781,Infinity Motel
54,Kadoma,JP,80.65400000000005,broken clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
60,Kudahuvadhoo,MV,82.45400000000006,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
70,Khetri,IN,77.59400000000008,broken clouds,27.9833,75.8,Dinesh Rajoria
74,Agadez,NE,88.16000000000008,clear sky,19.75,10.25,
79,Sinnamary,GF,80.24000000000002,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
84,Miajadas,ES,76.64000000000001,clear sky,39.1513,-5.9084,Hotel Triana
88,Oranjestad,AW,85.94600000000005,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
89,Dakar,SN,79.68200000000002,overcast clouds,14.6937,-17.4441,Novotel Dakar
90,Salinopolis,BR,79.84400000000008,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
95,Alta Floresta,BR,76.49600000000005,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
97,Kavaratti,IN,81.05000000000001,overcast clouds,10.5669,72.642,Green leaf
98,Wingham,CA,77.93600000000006,overcast clouds,43.8879,-81.3114,Wingham Lindon Motel
103,Abu Samrah,SY,75.39800000000002,clear sky,35.3029,37.1841,
105,Dhidhdhoo,MV,81.842,overcast clouds,6.8833,73.1,Dhidhoo beach
106,Lethem,GY,80.18600000000006,broken clouds,3.3803,-59.7968,Savannah Inn
111,Sur,OM,89.042,broken clouds,22.5667,59.5289,Sur Plaza Hotel
119,Gorom-Gorom,BF,79.43000000000004,overcast clouds,14.4439,-0.2361,
132,Keti Bandar,PK,81.0680000000001,overcast clouds,24.1447,67.4497,Haji laloo memon house
134,San Cristobal,VE,77.18000000000004,overcast clouds,7.7669,-72.225,Pirineos
145,Hamilton,US,78.53000000000004,mist,39.1834,-84.5333,Six Acres Bed & Breakfast
150,Carutapera,BR,78.17000000000007,broken clouds,-1.195,-46.02,Lidera
155,Victoria,HK,84.95600000000003,overcast clouds,22.2855,114.1577,Mini Central
160,Eyl,SO,76.44200000000001,overcast clouds,7.9803,49.8164,Amiin Hotel
162,Lithakia,GR,78.17000000000007,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
166,Dwarka,IN,80.6,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
167,Varkkallai,IN,78.584,overcast clouds,8.7341,76.7067,Hindustan Beach Retreat
169,Markdale,CA,76.69400000000007,overcast clouds,44.3168,-80.6497,Danby House
173,Matay,EG,84.57800000000006,clear sky,28.419,30.7792,Nag Aespen
177,Sakakah,SA,87.36800000000008,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
178,Mabaruma,GY,76.35200000000009,broken clouds,8.2,-59.7833,Monty Brooms Guest House
180,Panama City,PA,84.14600000000004,broken clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
185,Barra Patuca,HN,80.24000000000002,overcast clouds,15.8,-84.2833,
188,Albany,US,84.84800000000003,broken clouds,42.6001,-73.9662,
189,Sao Filipe,CV,77.73800000000006,light rain,14.8961,-24.4956,Hotel Xaguate
190,Kashan,IR,80.18600000000006,clear sky,33.9831,51.4364,Manouchehri Traditional House
193,Thompson,CA,82.56200000000007,scattered clouds,55.7435,-97.8558,Burntwood Hotel
195,Cayenne,GF,78.83600000000007,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
198,Progreso,MX,80.11400000000003,few clouds,21.2833,-89.6667,Playa Linda Hotel
201,Banda Aceh,ID,79.62800000000007,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
