,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Country,Date
0,Klaksvik,62.2266,-6.589,282.66,90,99,5.59,light rain,FO,2022-08-20 23:51:32
1,Nanortalik,60.1432,-45.2371,277.37,97,100,1.72,overcast clouds,GL,2022-08-20 23:51:33
2,Boa Vista,2.8197,-60.6733,302.14,65,20,2.57,few clouds,BR,2022-08-20 23:50:25
3,Kungur,57.4368,56.9593,288.04,91,2,2.36,clear sky,RU,2022-08-20 23:51:34
4,Cape Town,-33.9258,18.4232,285.38,78,75,1.03,broken clouds,ZA,2022-08-20 23:45:02
5,Jamestown,42.097,-79.2353,298.95,52,75,2.57,broken clouds,US,2022-08-20 23:51:10
6,Longyearbyen,78.2186,15.6401,277.06,81,75,1.03,broken clouds,SJ,2022-08-20 23:51:35
7,Atar,20.5169,-13.0499,306.57,46,10,2.71,clear sky,MR,2022-08-20 23:51:36
8,Shahr-E Kord,32.3256,50.8644,292.16,15,84,1.65,broken clouds,IR,2022-08-20 23:51:36
9,Souillac,-20.5167,57.5167,295.36,68,75,5.14,broken clouds,MU,2022-08-20 23:51:37
10,Katakwi,1.8911,33.9661,290.19,93,42,0.92,light rain,UG,2022-08-20 23:51:38
11,Bushehr,28.9684,50.8385,306.36,62,25,2.37,scattered clouds,IR,2022-08-20 23:51:38
12,Jeremie,18.65,-74.1167,301.24,79,12,0.98,few clouds,HT,2022-08-20 23:51:39
13,Ihosy,-22.4,46.1167,288.4,81,0,1.07,clear sky,MG,2022-08-20 23:51:39
14,Deori,21.45,82.6167,296.55,93,100,4.19,overcast clouds,IN,2022-08-20 23:51:40
15,Port Alfred,-33.5906,26.891,281.58,84,73,0.89,broken clouds,ZA,2022-08-20 23:49:17
16,Cravo Norte,6.3017,-70.2041,296.15,93,100,1.6,overcast clouds,CO,2022-08-20 23:51:41
17,Hermanus,-34.4187,19.2345,282.48,72,26,2.68,scattered clouds,ZA,2022-08-20 23:51:42
18,Upernavik,72.7868,-56.1549,277.16,67,7,1.77,clear sky,GL,2022-08-20 23:48:56
19,Mmathubudukwane,-24.6,26.4333,281.72,38,0,2.72,clear sky,BW,2022-08-20 23:51:43
20,Novoleushkovskaya,45.9956,39.9921,295.14,56,98,6.0,overcast clouds,RU,2022-08-20 23:51:44
21,Mecca,21.4267,39.8261,304.12,41,39,1.43,scattered clouds,SA,2022-08-20 23:51:45
22,Seoni,22.0833,79.5333,294.67,96,100,6.06,overcast clouds,IN,2022-08-20 23:51:45
23,Kariba,-16.5167,28.8,291.24,44,0,1.28,clear sky,ZW,2022-08-20 23:51:46
24,Timra,62.487,17.3257,291.3,100,100,1.03,overcast clouds,SE,2022-08-20 23:51:47
25,East London,-33.0153,27.9116,286.54,57,83,7.38,broken clouds,ZA,2022-08-20 23:49:09
26,Ushuaia,-54.8,-68.3,275.96,65,0,2.06,clear sky,AR,2022-08-20 23:49:00
27,Inhambane,-23.865,35.3833,293.48,67,26,9.44,light rain,MZ,2022-08-20 23:51:48
28,Port Elizabeth,-33.918,25.5701,283.32,79,0,5.66,clear sky,ZA,2022-08-20 23:50:08
29,Binga,-17.6203,27.3414,288.77,20,3,3.73,clear sky,ZW,2022-08-20 23:51:49
30,Georgetown,5.4112,100.3354,298.12,96,40,2.68,scattered clouds,MY,2022-08-20 23:49:54
31,Lukoyanov,55.0277,44.4786,285.16,62,30,3.21,scattered clouds,RU,2022-08-20 23:51:50
32,Goure,13.9835,10.2704,299.27,57,85,4.66,overcast clouds,NE,2022-08-20 23:51:51
33,Porto Novo,6.4965,2.6036,297.05,91,60,1.96,broken clouds,BJ,2022-08-20 23:51:51
34,Laguna,38.421,-121.4238,315.55,21,0,1.79,clear sky,US,2022-08-20 23:51:52
35,Bathsheba,13.2167,-59.5167,300.49,83,40,5.14,scattered clouds,BB,2022-08-20 23:51:53
36,Nouadhibou,20.931,-17.0347,295.14,94,40,6.17,scattered clouds,MR,2022-08-20 23:50:11
37,Ilulissat,69.2167,-51.1,273.01,88,94,3.1,overcast clouds,GL,2022-08-20 23:51:54
38,Seneffe,50.5313,4.263,289.69,76,0,2.06,clear sky,BE,2022-08-20 23:51:54
39,Hithadhoo,-0.6,73.0833,300.44,76,61,5.04,broken clouds,MV,2022-08-20 23:51:55
40,Belyy Yar,53.6039,91.3903,284.09,93,75,3.0,broken clouds,RU,2022-08-20 23:51:55
41,Bengkulu,-3.8004,102.2655,297.13,94,100,5.55,overcast clouds,ID,2022-08-20 23:51:56
42,Mar Del Plata,-38.0023,-57.5575,288.16,44,0,6.69,clear sky,AR,2022-08-20 23:47:06
43,Pangnirtung,66.1451,-65.7125,280.74,88,100,0.37,light rain,CA,2022-08-20 23:51:57
44,Siguiri,11.6667,-9.5,294.98,97,99,2.62,overcast clouds,GN,2022-08-20 23:51:58
45,Mungwi,-10.1732,31.3694,293.53,41,92,1.32,overcast clouds,ZM,2022-08-20 23:51:58
46,Sisimiut,66.9395,-53.6735,277.4,80,91,2.05,overcast clouds,GL,2022-08-20 23:52:59
47,Chuy,-33.6971,-53.4616,280.95,73,20,2.24,few clouds,UY,2022-08-20 23:53:00
48,Santa Rita,-7.1139,-34.9781,297.52,73,0,3.09,clear sky,BR,2022-08-20 23:53:01
49,Oskemen,49.9565,82.6119,277.13,93,0,2.0,clear sky,KZ,2022-08-20 23:53:02
50,Ponta Do Sol,32.6667,-17.1,295.5,57,2,2.03,clear sky,PT,2022-08-20 23:49:03
51,Bredasdorp,-34.5322,20.0403,280.17,80,3,2.92,clear sky,ZA,2022-08-20 23:49:08
