City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2022-08-17 15:13:52,-22.9661,-42.0278,300.07,54,0,5.14
1,Ushuaia,AR,2022-08-17 15:11:30,-54.8,-68.3,275.96,81,75,2.06
2,Jamestown,US,2022-08-17 15:10:58,42.097,-79.2353,294.95,68,40,2.06
3,Senanga,ZM,2022-08-17 15:13:53,-16.1167,23.2667,304.93,10,0,2.22
4,Bunia,CD,2022-08-17 15:13:54,1.5667,30.25,292.71,91,100,2.58
5,Busselton,AU,2022-08-17 15:13:12,-33.65,115.3333,282.52,64,45,3.36
6,Bay City,US,2022-08-17 15:13:55,43.5945,-83.8889,298.33,68,0,1.54
7,Ilulissat,GL,2022-08-17 15:13:56,69.2167,-51.1,278.16,100,100,4.63
8,Bengkulu,ID,2022-08-17 15:13:57,-3.8004,102.2655,298.39,90,28,3.59
9,Bredasdorp,ZA,2022-08-17 15:13:57,-34.5322,20.0403,287.78,76,23,7.89
10,Lima,PE,2022-08-17 15:13:58,-12.0432,-77.0282,289.21,85,100,2.06
11,Chimbote,PE,2022-08-17 15:10:30,-9.0853,-78.5783,291.01,74,89,3.42
12,East London,ZA,2022-08-17 15:13:59,-33.0153,27.9116,292.65,51,15,6.54
13,Torbay,CA,2022-08-17 15:13:59,47.6666,-52.7314,291.08,92,100,7.2
14,Mogadishu,SO,2022-08-17 15:14:00,2.0371,45.3438,297.87,84,83,7.28
15,Hithadhoo,MV,2022-08-17 15:14:01,-0.6,73.0833,301.08,75,91,5.8
16,Chuy,UY,2022-08-17 15:14:01,-33.6971,-53.4616,288.82,76,37,5.07
17,Georgetown,MY,2022-08-17 15:11:27,5.4112,100.3354,302.53,81,20,0.0
18,Qaqortoq,GL,2022-08-17 15:14:02,60.7167,-46.0333,280.8,75,4,2.29
19,Manacapuru,BR,2022-08-17 15:09:31,-3.2997,-60.6206,305.63,50,13,1.04
20,Tornio,FI,2022-08-17 15:14:04,65.8481,24.1466,297.16,91,79,6.77
21,Parrita,CR,2022-08-17 15:14:04,9.5201,-84.3225,301.66,72,29,1.5
22,Guerande,FR,2022-08-17 15:14:05,47.3291,-2.4283,294.83,76,85,4.07
23,Riachao,BR,2022-08-17 15:14:05,-7.3619,-46.6172,306.87,25,5,4.36
24,Bera,BD,2022-08-17 15:14:06,24.0833,89.6167,305.23,62,98,2.08
25,Paveh,IR,2022-08-17 15:14:07,35.0434,46.3565,306.99,11,79,3.76
26,Swidnik,PL,2022-08-17 15:14:07,51.219,22.6962,298.54,69,20,2.57
27,Rio Amarillo,HN,2022-08-17 15:14:08,14.9757,-89.1296,294.45,96,82,0.9
28,Waddan,LY,2022-08-17 15:14:09,29.1614,16.139,313.17,13,0,6.03
29,Hermanus,ZA,2022-08-17 15:14:09,-34.4187,19.2345,286.93,85,68,8.55
30,Mahibadhoo,MV,2022-08-17 15:14:10,3.7833,72.9667,301.07,71,96,2.42
31,Mar Del Plata,AR,2022-08-17 15:13:12,-38.0023,-57.5575,284.23,76,75,6.17
32,Port Elizabeth,ZA,2022-08-17 15:14:11,-33.918,25.5701,292.77,45,2,3.58
33,Nanortalik,GL,2022-08-17 15:14:12,60.1432,-45.2371,278.86,84,59,7.1
34,Clyde River,CA,2022-08-17 15:14:12,70.4692,-68.5914,279.04,75,93,0.45
35,Saldanha,ZA,2022-08-17 15:14:13,-33.0117,17.9442,287.36,82,12,6.73
36,Lucenec,SK,2022-08-17 15:14:14,48.3325,19.6671,306.55,27,44,0.49
37,Shelburne,CA,2022-08-17 15:14:14,44.0787,-80.2041,296.9,65,97,2.93
38,Ribeira Grande,PT,2022-08-17 15:14:15,38.5167,-28.7,296.37,68,75,6.17
39,Qasigiannguit,GL,2022-08-17 15:14:16,68.8193,-51.1922,278.29,97,100,3.0
40,Fort Payne,US,2022-08-17 15:14:16,34.4442,-85.7197,299.66,52,0,2.06
41,Mattru,SL,2022-08-17 15:14:17,7.6244,-11.8332,295.78,97,100,1.94
42,Narsaq,GL,2022-08-17 15:14:17,60.9167,-46.05,284.27,68,5,1.9
43,Tonstad,NO,2022-08-17 15:14:18,58.6626,6.7169,291.78,63,78,3.53
44,Nizwa,OM,2022-08-17 15:14:19,22.9333,57.5333,307.09,37,100,1.0
45,Morondava,MG,2022-08-17 15:14:19,-20.2833,44.2833,296.97,68,0,7.74
46,Abdulino,RU,2022-08-17 15:14:20,53.7,53.6667,296.06,46,8,3.03
47,Port-Gentil,GA,2022-08-17 15:15:22,-0.7193,8.7815,299.13,73,75,4.12
48,Longyearbyen,SJ,2022-08-17 15:15:22,78.2186,15.6401,281.06,81,75,2.57
